gene_id	symbol	PROcap
FBgn0031216	Zir	12.1638290000059
FBgn0001142	Gs1	608.566959646591
FBgn0016977	spen	94.8226497345882
FBgn0003444	smo	16.2022914626667
FBgn0003278	RpI135	17.4741452376211
FBgn0004583	ex	4664.736400258
FBgn0031256	shv	56.0442305896315
FBgn0031257	CG4133	4.46241372097887
FBgn0267991	CR46258	1094.29406814747
FBgn0031263	Tspo	50.2396704643974
FBgn0031265	CG2794	154.745450605958
FBgn0031270	CG13689	13.3872411629366
FBgn0031282	Pex12	2.23120686048944
FBgn0010583	dock	2158.24538889424
FBgn0020545	kraken	2694.90491777269
FBgn0053526	PNUTS	977.757760592079
FBgn0015905	ast	22.7360198632125
FBgn0031304	CG4552	2.33537375696253
FBgn0031321	Tgt	22.57612768229
FBgn0031351	CG14352	4.88636497929699
FBgn0086758	chinmo	225.817002107349
FBgn0031357	mRpL48	2.23120686048944
FBgn0260648	Rrp40	2.33537375696253
FBgn0031374	Wdr62	193.874984284975
FBgn0003557	Su(dx)	52.4781609973126
FBgn0085203	CG34174	5.20614934114202
FBgn0031399	mio	50.5740221710939
FBgn0264979	CG4267	23518.8994805917
FBgn0264672	Eogt	2.97494248065258
FBgn0011818	oaf	702.294759226956
FBgn0031435	Elba2	2.07131467956692
FBgn0051690	CG31690	698.951590772435
FBgn0031452	Cwc25	3.71867810081573
FBgn0031453	Bacc	26.7187570414238
FBgn0015521	RpS21	467.996187858288
FBgn0031478	CG8814	49.3506100081632
FBgn0031484	CG3165	11.2602011989203
FBgn0031490	CG17264	5.20614934114202
FBgn0031492	CG3542	21.8323920621268
FBgn0031494	CG17219	8.02119964087209
FBgn0283427	FASN1	3564.69534413981
FBgn0014906	Hydr2	32.2301233995594
FBgn0031518	CG3277	7.86130745994958
FBgn0016698	Ptpa	16.3621836435892
FBgn0031534	Snx1	66.9289221422574
FBgn0031535	CG12795	34.6357897858228
FBgn0264549	CR43928	9.6685630621209
FBgn0261560	Thor	7466.71046125692
FBgn0031544	CG17593	2.97494248065258
FBgn0031566	CG2818	95.8788860441706
FBgn0031568	CG10019	1227.27013564818
FBgn0004893	bowl	13186.4777457848
FBgn0021800	Reph	18.6975574005517
FBgn0003430	slp1	210.09438718745
FBgn0000547	ed	18.2736061422336
FBgn0014033	Sr-CI	4.46241372097887
FBgn0003941	RpL40	18.8574495814743
FBgn0010473	tutl	20.6647051836456
FBgn0020762	Atet	1842.73939828163
FBgn0022153	l(2)k05819	64.7508964712608
FBgn0031604	Elp3	2.97494248065258
FBgn0031628	CG3294	2.07131467956692
FBgn0031640	Mon1	2.97494248065258
FBgn0031645	CG3036	4091.25322815534
FBgn0015000	betaggt-I	7.86130745994958
FBgn0031655	Marcal1	136.687461929096
FBgn0031657	CG3756	2.23120686048944
FBgn0031662	CG3792	29.2697482637583
FBgn0083962	CG34126	287.394450072394
FBgn0000299	Col4a1	67.7841083313194
FBgn0053995	CG33995	22.4089518289417
FBgn0264742	CG44000	22.4089518289417
FBgn0264743	CG44001	22.4089518289417
FBgn0014857	His3.3A	7.11757183978643
FBgn0261608	RpL37A	18.6975574005517
FBgn0051648	CG31648	2.23120686048944
FBgn0031736	CG11030	641.918872407565
FBgn0051912	CR31912	5.94988496130517
FBgn0031741	CG11034	589.934955297871
FBgn0001128	Gpdh	3.71867810081573
FBgn0031752	CG9044	2.65515811880756
FBgn0001942	eIF4A	18.2178808577842
FBgn0266449	Kr-h2	512.46771655958
FBgn0266450	Kr-h1	664.453842150257
FBgn0266521	stai	44.2486275634943
FBgn0051642	CG31642	6.69362058146831
FBgn0085409	smal	8.33370033029137
FBgn0031791	AANATL2	20.1293033564286
FBgn0015623	Cpr	1195.74987360161
FBgn0031811	CG13982	5.20614934114202
FBgn0031815	frj	5.20614934114202
FBgn0051637	CG31637	255.62943587075
FBgn0263916	Ent2	7.70141527902706
FBgn0031836	CG11050	10.9961421215247
FBgn0046704	Liprin-alpha	14.5549280414179
FBgn0017551	Rca1	4.88636497929699
FBgn0031866	Nlg2	133.92085324139
FBgn0020616	SA	2.97494248065258
FBgn0031877	CG10399	2.23120686048944
FBgn0031883	Caper	179.921011122606
FBgn0264439	CR43857	908.214838270612
FBgn0283658	muc	5.20614934114202
FBgn0031945	CG7191	11.8997699226103
FBgn0031947	CG7154	3.55878591989322
FBgn0261800	LanB1	51.504240566926
FBgn0031981	CG7466	5.47020841853763
FBgn0010287	Trf	12.6435055427735
FBgn0031988	CG8668	46.0001578812162
FBgn0261064	Rbsn-5	10.092514320439
FBgn0264953	Piezo	10666.5859717505
FBgn0032018	CG7806	31.8207394860928
FBgn0032036	CG13384	647.241211895075
FBgn0051898	CG31898	2.81505029973007
FBgn0285971	prg	9.18888651935336
FBgn0016122	Acer	11.1560343024472
FBgn0028394	CG17834	3620.73737924693
FBgn0001114	Glt	18.2178808577842
FBgn0085427	CG34398	8.92482744195775
FBgn0052982	CG32982	4106.11811279122
FBgn0010314	Cks30A	2.07131467956692
FBgn0032120	CG33298	477.855973273547
FBgn0032130	CG3838	3312.54018282725
FBgn0032139	CG13116	12.483613361851
FBgn0270924	zf30C	3.71867810081573
FBgn0032144	CG17633	3.71867810081573
FBgn0032147	IP3K1	47689.1263799282
FBgn0024285	Srp54	22.7360198632125
FBgn0011272	RpL13	15.5554390665509
FBgn0000180	bib	13.6440165679065
FBgn0027600	obst-B	10.2524065013615
